date,elapsed seconds,mouse clicks,mouse distance,scroll distance,keystrokes
2023-05-11,13440,1129,0.17,0.01,1
2023-05-12,52800,4875,0.64,0.04,0
2023-05-13,27180,1830,0.21,0.01,0
2023-05-14,23160,478,0.07,0.01,0
2023-05-15,40020,2819,0.40,0.03,0
2023-05-16,39780,4704,0.57,0.02,6629
2023-05-17,38805,3924,0.47,0.03,6217
