単語,カナ,原型,品詞,細分類1,細分類2,細分類3,活用1,活用2,発音
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
友達,トモダチ,友達,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
見せ,ミセ,見せる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
い,イ,いる,動詞,非自立,一段,連用形,,,
たら,タラ,た,助動詞,特殊・タ,仮定形,,,,
、,、,、,記号,読点,,,,,
一,イチ,一,名詞,数,,,,,
人,ニン,人,名詞,接尾,助数詞,,,,
が,ガ,が,助詞,格助詞,一般,,,,
光る,ヒカル,光る,動詞,自立,五段・ラ行,基本形,,,
事,コト,事,名詞,非自立,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
光る,ヒカル,光る,動詞,自立,五段・ラ行,基本形,,,
が,ガ,が,助詞,接続助詞,,,,,
切れ,キレ,切れる,動詞,自立,一段,連用形,,,
そう,ソウ,そう,名詞,接尾,助動詞語幹,,,,
も,モ,も,助詞,係助詞,,,,,
ない,ナイ,ない,形容詞,自立,形容詞・アウオ段,基本形,,,
と,ト,と,助詞,格助詞,引用,,,,
云っ,ユッ,云う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
切れ,キレ,切れる,動詞,自立,一段,未然形,,,
ぬ,ヌ,ぬ,助動詞,特殊・ヌ,基本形,,,,
事,コト,事,名詞,非自立,一般,,,,
が,ガ,が,助詞,格助詞,一般,,,,
ある,アル,ある,動詞,自立,五段・ラ行,基本形,,,
か,カ,か,助詞,副助詞／並立助詞／終助詞,,,,,
、,、,、,記号,読点,,,,,
何,ナニ,何,名詞,代名詞,一般,,,,
でも,デモ,でも,助詞,副助詞,,,,,
切っ,キッ,切る,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
みせる,ミセル,みせる,動詞,非自立,一段,基本形,,,
と,ト,と,助詞,格助詞,引用,,,,
受け合っ,ウケアッ,受け合う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
そん,ソン,そん,名詞,一般,,,,,
なら,ナラ,だ,助動詞,特殊・ダ,仮定形,,,,
君,キミ,君,名詞,代名詞,一般,,,,
の,ノ,の,助詞,連体化,,,,,
指,ユビ,指,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
切っ,キッ,切る,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
みろ,ミロ,みる,動詞,非自立,一段,命令ｒｏ,,,
と,ト,と,助詞,格助詞,引用,,,,
注文,チュウモン,注文,名詞,サ変接続,,,,,
し,シ,する,動詞,自立,サ変・スル,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
何だ,ナンダ,何だ,感動詞,,,,,,
指,ユビ,指,名詞,一般,,,,,
ぐらい,グライ,ぐらい,助詞,副助詞,,,,,
この,コノ,この,連体詞,,,,,,
通り,トオリ,通り,名詞,一般,,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
と,ト,と,助詞,格助詞,引用,,,,
右,ミギ,右,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
手,テ,手,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
親指,オヤユビ,親指,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
甲,カブト,甲,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
はす,ハス,はする,動詞,自立,サ変・－スル,文語基本形,,,
に,ニ,に,助詞,格助詞,一般,,,,
切り込ん,キリコン,切り込む,動詞,自立,五段・マ行,連用タ接続,,,
だ,ダ,だ,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
幸,コウ,幸,名詞,一般,,,,,
ナイフ,ナイフ,ナイフ,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
小さい,チイサイ,小さい,形容詞,自立,形容詞・アウオ段,基本形,,,
の,ノ,の,名詞,非自立,一般,,,,
と,ト,と,助詞,並立助詞,,,,,
、,、,、,記号,読点,,,,,
親指,オヤユビ,親指,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
骨,ホネ,骨,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
堅かっ,カタカッ,堅い,形容詞,自立,形容詞・アウオ段,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
ので,ノデ,ので,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
今,イマ,今,名詞,副詞可能,,,,,
だに,ダニ,だに,助詞,副助詞,,,,,
親指,オヤユビ,親指,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
手,テ,手,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
付い,ツイ,付く,動詞,自立,五段・カ行イ音便,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
いる,イル,いる,動詞,非自立,一段,基本形,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
しかし,シカシ,しかし,接続詞,,,,,,
創痕,ソウコン,創痕,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
死ぬ,シヌ,死ぬ,動詞,自立,五段・ナ行,基本形,,,
まで,マデ,まで,助詞,副助詞,,,,,
消え,キエ,消える,動詞,自立,一段,未然形,,,
ぬ,ヌ,ぬ,助動詞,特殊・ヌ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
庭,ニワ,庭,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
東,ヒガシ,東,名詞,一般,,,,,
へ,ヘ,へ,助詞,格助詞,一般,,,,
二,ニ,二,名詞,数,,,,,
十,ジュウ,十,名詞,数,,,,,
歩,ホ,歩,名詞,接尾,助数詞,,,,
に,ニ,に,助詞,格助詞,一般,,,,
行き,イキ,行く,動詞,自立,五段・カ行促音便,連用形,,,
尽す,ツクス,尽す,動詞,自立,五段・サ行,基本形,,,
と,ト,と,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
南,ミナミ,南,名詞,一般,,,,,
上がり,アガリ,上がり,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
いささか,イササカ,いささか,副詞,一般,,,,,
ばかり,バカリ,ばかり,助詞,副助詞,,,,,
の,ノ,の,助詞,連体化,,,,,
菜園,サイエン,菜園,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
あっ,アッ,ある,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
真中,マンナカ,真中,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
栗,クリ,栗,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
木,キ,木,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
一,イチ,一,名詞,数,,,,,
本,ホン,本,名詞,接尾,助数詞,,,,
立っ,タッ,立つ,動詞,自立,五段・タ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
