単語,カナ,原型,品詞,細分類1,細分類2,細分類3,活用1,活用2,発音
た,タ,た,助動詞,特殊・タ,基本形,,,,
あと,アト,あと,名詞,一般,,,,,
で,デ,で,助詞,格助詞,一般,,,,
、,、,、,記号,読点,,,,,
一,イチ,一,名詞,数,,,,,
人,ニン,人,名詞,接尾,助数詞,,,,
ぽかんと,ポカント,ぽかんと,副詞,一般,,,,,
し,シ,する,動詞,自立,サ変・スル,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
いる,イル,いる,動詞,非自立,一段,基本形,,,
の,ノ,の,名詞,非自立,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
随分,ズイブン,随分,名詞,形容動詞語幹,,,,,
間,カン,間,名詞,接尾,一般,,,,
が,ガ,が,助詞,格助詞,一般,,,,
抜け,ヌケ,抜ける,動詞,自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
もの,モノ,もの,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
宿直,シュクチョク,宿直,名詞,サ変接続,,,,,
部屋,ヘヤ,部屋,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
教場,キョウジョウ,教場,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
裏手,ウラテ,裏手,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
ある,アル,ある,動詞,自立,五段・ラ行,基本形,,,
寄宿舎,キシュクシャ,寄宿舎,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
西,ニシ,西,名詞,一般,,,,,
はずれ,ハズレ,はずれ,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
一室,イッシツ,一室,名詞,一般,,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
ちょっと,チョット,ちょっと,副詞,助詞類接続,,,,,
はいっ,ハイッ,はいる,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
み,ミ,みる,動詞,非自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
が,ガ,が,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
西日,ニシビ,西日,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
まとも,マトモ,まとも,名詞,形容動詞語幹,,,,,
に,ニ,に,助詞,副詞化,,,,,
受け,ウケ,受ける,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
苦しくっ,クルシクッ,苦しい,形容詞,自立,形容詞・イ段,連用テ接続,,,
て,テ,て,助詞,接続助詞,,,,,
居,キョ,居,名詞,一般,,,,,
たたま,タタマ,たたむ,動詞,自立,五段・マ行,未然形,,,
れ,レ,れる,動詞,接尾,一段,未然形,,,
ない,ナイ,ない,助動詞,特殊・ナイ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
田舎,イナカ,田舎,名詞,一般,,,,,
だけ,ダケ,だけ,助詞,副助詞,,,,,
あっ,アッ,ある,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
秋,アキ,秋,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
き,キ,くる,動詞,自立,カ変・クル,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
も,モ,も,助詞,係助詞,,,,,
、,、,、,記号,読点,,,,,
気長,キナガ,気長,名詞,形容動詞語幹,,,,,
に,ニ,に,助詞,副詞化,,,,,
暑い,アツイ,暑い,形容詞,自立,形容詞・アウオ段,基本形,,,
もん,モン,もん,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
生徒,セイト,生徒,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
賄,マカナイ,賄,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
取り,トリ,取る,動詞,自立,五段・ラ行,連用形,,,
よせ,ヨセ,よせる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
晩,バン,晩,名詞,副詞可能,,,,,
飯,メシ,飯,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
済まし,スマシ,済ます,動詞,自立,五段・サ行,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
が,ガ,が,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
まずい,マズイ,まずい,形容詞,自立,形容詞・アウオ段,基本形,,,
に,ニ,に,助詞,格助詞,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
恐れ入っ,オソレイッ,恐れ入る,動詞,自立,五段・ラ行,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
よく,ヨク,よく,副詞,一般,,,,,
あんな,アンナ,あんな,連体詞,,,,,,
もの,モノ,もの,名詞,非自立,一般,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
食っ,クッ,食う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
あれ,アレ,あれ,名詞,代名詞,一般,,,,
だけ,ダケ,だけ,助詞,副助詞,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
暴れ,アバレ,暴れる,動詞,自立,一段,未然形,,,
られ,ラレ,られる,動詞,接尾,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
もん,モン,もん,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
それで,ソレデ,それで,接続詞,,,,,,
晩,バン,晩,名詞,副詞可能,,,,,
飯,メシ,飯,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
急い,イソイ,急ぐ,動詞,自立,五段・ガ行,連用タ接続,,,
で,デ,で,助詞,接続助詞,,,,,
四,ヨン,四,名詞,数,,,,,
時半,ジハン,時半,名詞,接尾,助数詞,,,,
に,ニ,に,助詞,格助詞,一般,,,,
片付け,カタヅケ,片付ける,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
しまう,シマウ,しまう,動詞,非自立,五段・ワ行促音便,基本形,,,
ん,ン,ん,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
豪傑,ゴウケツ,豪傑,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
違い,チガイ,違い,名詞,ナイ形容詞語幹,,,,,
ない,ナイ,ない,助動詞,特殊・ナイ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
飯,メシ,飯,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
食っ,クッ,食う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
が,ガ,が,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
まだ,マダ,まだ,副詞,助詞類接続,,,,,
日,ヒ,日,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
暮れ,クレ,暮れる,動詞,自立,一段,未然形,,,
ない,ナイ,ない,助動詞,特殊・ナイ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
寝る,ネル,寝る,動詞,自立,一段,基本形,,,
訳,ワケ,訳,名詞,非自立,一般,,,,
に,ニ,に,助詞,格助詞,一般,,,,
行か,イカ,行く,動詞,自立,五段・カ行促音便,未然形,,,
ない,ナイ,ない,助動詞,特殊・ナイ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
ちょっと,チョット,ちょっと,副詞,助詞類接続,,,,,
温泉,オンセン,温泉,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
行き,イキ,行く,動詞,自立,五段・カ行促音便,連用形,,,
たく,タク,たい,助動詞,特殊・タイ,連用テ接続,,,,
なっ,ナッ,なる,動詞,自立,五段・ラ行,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
宿直,シュクチョク,宿直,名詞,サ変接続,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
し,シ,する,動詞,自立,サ変・スル,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
外,ソト,外,名詞,一般,,,,,
へ,ヘ,へ,助詞,格助詞,一般,,,,
出る,デル,出る,動詞,自立,一段,基本形,,,
の,ノ,の,名詞,非自立,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
いい,イイ,いい,形容詞,自立,形容詞・イイ,基本形,,,
事,コト,事,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
か,カ,か,助詞,副助詞／並立助詞／終助詞,,,,,
、,、,、,記号,読点,,,,,
悪,アク,悪,接頭詞,名詞接続,,,,,
るい,ルイ,るい,名詞,一般,,,,,
事,ゴト,事,名詞,接尾,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
かしら,カシラ,かしら,助詞,終助詞,,,,,
ない,ナイ,ない,形容詞,自立,形容詞・アウオ段,基本形,,,
が,ガ,が,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
こう,コウ,こう,副詞,助詞類接続,,,,,
つくねん,ツクネン,つくねる,動詞,自立,一段,体言接続特殊,,,
として,トシテ,として,助詞,格助詞,連語,,,,
重,ジュウ,重,接頭詞,名詞接続,,,,,
禁錮,キンコ,禁錮,名詞,サ変接続,,,,,
同様,ドウヨウ,同様,名詞,形容動詞語幹,,,,,
な,ナ,だ,助動詞,特殊・ダ,体言接続,,,,
憂,ウ,憂い,形容詞,自立,形容詞・アウオ段,ガル接続,,,
目,メ,目,名詞,接尾,一般,,,,
に,ニ,に,助詞,格助詞,一般,,,,
逢う,アウ,逢う,動詞,自立,五段・ワ行促音便,基本形,,,
の,ノ,の,名詞,非自立,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
我慢,ガマン,我慢,名詞,サ変接続,,,,,
の,ノ,の,助詞,格助詞,一般,,,,
出来る,デキル,出来る,動詞,自立,一段,基本形,,,
もん,モン,もん,名詞,非自立,一般,,,,
じゃ,ジャ,じゃ,助詞,副助詞,,,,,
ない,ナイ,ない,助動詞,特殊・ナイ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
始めて,ハジメテ,始めて,副詞,一般,,,,,
学校,ガッコウ,学校,名詞,一般,,,,,
へ,ヘ,へ,助詞,格助詞,一般,,,,
来,キ,来る,動詞,自立,カ変・来ル,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
時,トキ,時,名詞,非自立,副詞可能,,,,
当直,トウチョク,当直,名詞,サ変接続,,,,,
の,ノ,の,助詞,連体化,,,,,
人,ヒト,人,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
と,ト,と,助詞,格助詞,引用,,,,
聞い,キイ,聞く,動詞,自立,五段・カ行イ音便,連用タ接続,,,
たら,タラ,た,助動詞,特殊・タ,仮定形,,,,
、,、,、,記号,読点,,,,,
ちょっと,チョット,ちょっと,副詞,助詞類接続,,,,,
用達,ヨウタシ,用達,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
出,デ,出る,動詞,自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
と,ト,と,助詞,格助詞,引用,,,,
小使,コヅカイ,小使,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
答え,コタエ,答える,動詞,自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
の,ノ,の,名詞,非自立,一般,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
妙,ミョウ,妙,名詞,形容動詞語幹,,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
と,ト,と,助詞,格助詞,引用,,,,
思っ,オモッ,思う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
が,ガ,が,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
自分,ジブン,自分,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
番,バン,番,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
廻っ,マワッ,廻る,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
みる,ミル,みる,動詞,非自立,一段,基本形,,,
と,ト,と,助詞,格助詞,引用,,,,
思い当る,オモイアタル,思い当る,動詞,自立,五段・ラ行,基本形,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
出る,デル,出る,動詞,自立,一段,基本形,,,
方,ホウ,方,名詞,非自立,一般,,,,
が,ガ,が,助詞,格助詞,一般,,,,
正しい,タダシイ,正しい,形容詞,自立,形容詞・イ段,基本形,,,
の,ノ,の,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
おれ,オレ,おれ,名詞,代名詞,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
小使,コヅカイ,小使,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
ちょっと,チョット,ちょっと,副詞,助詞類接続,,,,,
出,デ,出る,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
くる,クル,くる,動詞,非自立,カ変・クル,基本形,,,
と,ト,と,助詞,格助詞,引用,,,,
云っ,ユッ,云う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
たら,タラ,た,助動詞,特殊・タ,仮定形,,,,
、,、,、,記号,読点,,,,,
何,ナニ,何,名詞,代名詞,一般,,,,
か,カ,か,助詞,副助詞／並立助詞／終助詞,,,,,
ご用,ゴヨウ,ご用,名詞,サ変接続,,,,,
です,デス,です,助動詞,特殊・デス,基本形,,,,
か,カ,か,助詞,副助詞／並立助詞／終助詞,,,,,
と,ト,と,助詞,格助詞,引用,,,,
聞く,キク,聞く,動詞,自立,五段・カ行イ音便,基本形,,,
から,カラ,から,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
用,ヨウ,用,名詞,一般,,,,,
じゃ,ジャ,じゃ,助詞,副助詞,,,,,
ない,ナイ,ない,助動詞,特殊・ナイ,基本形,,,,
、,、,、,記号,読点,,,,,
温泉,オンセン,温泉,名詞,一般,,,,,
へ,ヘ,へ,助詞,格助詞,一般,,,,
はいる,ハイル,はいる,動詞,自立,五段・ラ行,基本形,,,
ん,ン,ん,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
と,ト,と,助詞,格助詞,引用,,,,
答え,コタエ,答える,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
さっさと,サッサト,さっさと,副詞,一般,,,,,
出掛け,デカケ,出掛ける,動詞,自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
赤,アカ,赤,名詞,一般,,,,,
手拭,テヌグイ,手拭,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
宿,ヤド,宿,名詞,一般,,,,,
へ,ヘ,へ,助詞,格助詞,一般,,,,
忘れ,ワスレ,忘れる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
来,キ,来る,動詞,非自立,カ変・来ル,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
の,ノ,の,名詞,非自立,一般,,,,
が,ガ,が,助詞,格助詞,一般,,,,
残念,ザンネン,残念,名詞,形容動詞語幹,,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
が,ガ,が,助詞,接続助詞,,,,,
今日,キョウ,今日,名詞,副詞可能,,,,,
は,ハ,は,助詞,係助詞,,,,,
先方,センポウ,先方,名詞,一般,,,,,
で,デ,で,助詞,格助詞,一般,,,,
借りる,カリル,借りる,動詞,自立,一段,基本形,,,
と,ト,と,助詞,格助詞,引用,,,,
しよ,シヨ,する,動詞,自立,サ変・スル,未然ウ接続,,,
う,ウ,う,助動詞,不変化型,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
それから,ソレカラ,それから,接続詞,,,,,,
かなり,カナリ,かなり,副詞,一般,,,,,
ゆるり,ユルリ,ゆるり,副詞,助詞類接続,,,,,
と,ト,と,助詞,副詞化,,,,,
、,、,、,記号,読点,,,,,
出,デ,出る,動詞,自立,一段,連用形,,,
たり,タリ,たり,助詞,並立助詞,,,,,
は,ハ,は,助詞,係助詞,,,,,
いっ,イッ,いう,動詞,自立,五段・ワ行促音便,連用タ接続,,,
たり,タリ,たり,助詞,並立助詞,,,,,
し,シ,する,動詞,自立,サ変・スル,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
ようやく,ヨウヤク,ようやく,副詞,一般,,,,,
日暮,ヒグレ,日暮,名詞,一般,,,,,
方,カタ,方,名詞,接尾,一般,,,,
に,ニ,に,助詞,格助詞,一般,,,,
なっ,ナッ,なる,動詞,自立,五段・ラ行,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
汽車,キシャ,汽車,名詞,一般,,,,,
へ,ヘ,へ,助詞,格助詞,一般,,,,
乗っ,ノッ,乗る,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
古町,フルマチ,古町,名詞,固有名詞,人名,姓,,,
の,ノ,の,助詞,連体化,,,,,
停車場,テイシャジョウ,停車場,名詞,一般,,,,,
まで,マデ,まで,助詞,副助詞,,,,,
来,キ,来る,動詞,自立,カ変・来ル,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
下り,オリ,下りる,動詞,自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
学校,ガッコウ,学校,名詞,一般,,,,,
まで,マデ,まで,助詞,副助詞,,,,,
は,ハ,は,助詞,係助詞,,,,,
これから,コレカラ,これから,副詞,助詞類接続,,,,,
四,ヨン,四,名詞,数,,,,,
丁,チョウ,丁,名詞,接尾,助数詞,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
訳,ワケ,訳,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
ない,ナイ,ない,形容詞,自立,形容詞・アウオ段,基本形,,,
と,ト,と,助詞,格助詞,引用,,,,
あるき,アルキ,あるく,動詞,自立,五段・カ行イ音便,連用形,,,
出す,ダス,出す,動詞,非自立,五段・サ行,基本形,,,
と,ト,と,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
向う,ムコウ,向う,名詞,一般,,,,,
から,カラ,から,助詞,格助詞,一般,,,,
狸,タヌキ,狸,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
来,キ,来る,動詞,自立,カ変・来ル,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
狸,タヌキ,狸,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
これから,コレカラ,これから,副詞,助詞類接続,,,,,
この,コノ,この,連体詞,,,,,,
汽車,キシャ,汽車,名詞,一般,,,,,
で,デ,で,助詞,格助詞,一般,,,,
温泉,オンセン,温泉,名詞,一般,,,,,
へ,ヘ,へ,助詞,格助詞,一般,,,,
行こ,イコ,行く,動詞,自立,五段・カ行促音便,未然ウ接続,,,
う,ウ,う,助動詞,不変化型,基本形,,,,
と,ト,と,助詞,格助詞,引用,,,,
云う,イウ,云う,動詞,自立,五段・ワ行促音便,基本形,,,
計画,ケイカク,計画,名詞,サ変接続,,,,,
な,ナ,だ,助動詞,特殊・ダ,体言接続,,,,
ん,ン,ん,名詞,非自立,一般,,,,
だろ,ダロ,だ,助動詞,特殊・ダ,未然形,,,,
う,ウ,う,助動詞,不変化型,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
すたすた,スタスタ,すたすた,副詞,一般,,,,,
急ぎ足,イソギアシ,急ぎ足,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
やってき,ヤッテキ,やってくる,動詞,自立,カ変・クル,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
が,ガ,が,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
擦れ違っ,スレチガッ,擦れ違う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
時,トキ,時,名詞,非自立,副詞可能,,,,
おれ,オレ,おれ,名詞,代名詞,一般,,,,
の,ノ,の,助詞,連体化,,,,,
顔,カオ,顔,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
見,ミ,見る,動詞,自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
ちょっと,チョット,ちょっと,副詞,助詞類接続,,,,,
挨拶,アイサツ,挨拶,名詞,サ変接続,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
し,シ,する,動詞,自立,サ変・スル,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
すると,スルト,すると,接続詞,,,,,,
狸,タヌキ,狸,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
あなた,アナタ,あなた,名詞,代名詞,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
今日,キョウ,今日,名詞,副詞可能,,,,,
は,ハ,は,助詞,係助詞,,,,,
宿直,シュクチョク,宿直,名詞,サ変接続,,,,,
で,デ,で,助詞,格助詞,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
なかっ,ナカッ,ない,形容詞,自立,形容詞・アウオ段,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
です,デス,です,助動詞,特殊・デス,基本形,,,,
か,カ,か,助詞,副助詞／並立助詞／終助詞,,,,,
ね,ネ,ね,助詞,終助詞,,,,,
えと,エト,えと,フィラー,,,,,,
真面目くさっ,マジメクサッ,真面目くさる,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
聞い,キイ,聞く,動詞,自立,五段・カ行イ音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
なかっ,ナカッ,ない,形容詞,自立,形容詞・アウオ段,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
です,デス,です,助動詞,特殊・デス,基本形,,,,
か,カ,か,助詞,副助詞／並立助詞／終助詞,,,,,
ねえ,ネエ,ねえ,助詞,終助詞,,,,,
も,モ,も,助詞,係助詞,,,,,
ない,ナイ,ない,形容詞,自立,形容詞・アウオ段,基本形,,,
もん,モン,もん,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
二,ニ,二,名詞,数,,,,,
時間,ジカン,時間,名詞,接尾,助数詞,,,,
前,マエ,前,名詞,副詞可能,,,,,
おれ,オレ,おれ,名詞,代名詞,一般,,,,
に,ニ,に,助詞,格助詞,一般,,,,
向っ,ムカッ,向う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
今夜,コンヤ,今夜,名詞,副詞可能,,,,,
は,ハ,は,助詞,係助詞,,,,,
始め,ハジメ,始める,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
の,ノ,の,助詞,連体化,,,,,
宿直,シュクチョク,宿直,名詞,サ変接続,,,,,
です,デス,です,助動詞,特殊・デス,基本形,,,,
ね,ネ,ね,助詞,終助詞,,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
ご苦労さま,ゴクロウサマ,ご苦労さま,感動詞,,,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
と,ト,と,フィラー,,,,,,
礼,レイ,礼,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
云っ,ユッ,云う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
じゃ,ジャ,じゃ,助詞,副助詞,,,,,
ない,ナイ,ない,助動詞,特殊・ナイ,基本形,,,,
か,カ,か,助詞,副助詞／並立助詞／終助詞,,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
校長,コウチョウ,校長,名詞,一般,,,,,
なんか,ナンカ,なんか,助詞,副助詞,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
なる,ナル,なる,動詞,自立,五段・ラ行,基本形,,,
と,ト,と,助詞,接続助詞,,,,,
いやに,イヤニ,いやに,副詞,一般,,,,,
曲りくねっ,マガリクネッ,曲りくねる,動詞,自立,五段・ラ行,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
言葉,コトバ,言葉,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
使う,ツカウ,使う,動詞,自立,五段・ワ行促音便,基本形,,,
もん,モン,もん,名詞,非自立,一般,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
おれ,オレ,おれ,名詞,代名詞,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
腹,ハラ,腹,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
立っ,タッ,立つ,動詞,自立,五段・タ行,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
ええ,エエ,ええ,感動詞,,,,,,
宿直,シュクチョク,宿直,名詞,サ変接続,,,,,
です,デス,です,助動詞,特殊・デス,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
宿直,シュクチョク,宿直,名詞,サ変接続,,,,,
です,デス,です,助動詞,特殊・デス,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
これから,コレカラ,これから,副詞,助詞類接続,,,,,
帰っ,カエッ,帰る,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
泊る,トマル,泊る,動詞,自立,五段・ラ行,基本形,,,
事,コト,事,名詞,非自立,一般,,,,
は,ハ,は,助詞,係助詞,,,,,
たしかに,タシカニ,たしかに,副詞,一般,,,,,
泊り,トマリ,泊る,動詞,自立,五段・ラ行,連用形,,,
ます,マス,ます,助動詞,特殊・マス,基本形,,,,
と,ト,と,助詞,格助詞,引用,,,,
云い,イイ,云う,動詞,自立,五段・ワ行促音便,連用形,,,
捨て,ステ,捨てる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
済まし,スマシ,済ます,動詞,自立,五段・サ行,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
