
date,ave_temperature,max_temperature,min_temperature,precipitation,daylight_hours,cloud_amount,ave_wind_speed,max_wind_speed,max_wind_direction
2019/5/22,19.4,25.2,14.1,,11.1,8,2.6,5.5,南東
2019/5/23,21.3,27,15.2,,12.2,4,3,5.6,南南東
2019/5/24,23.1,31,16.4,,13.1,0.3,2.7,5.8,南南東
2019/5/25,24.4,31.9,17,,13.4,0,2.7,5.4,南東
2019/5/26,25.2,32.6,18.6,,12.6,5.3,2.3,5.7,南南東
2019/5/27,26.1,32.4,19.9,,12.6,5,3,6.1,南東
2019/5/28,23.5,28.1,19.1,1,1.2,10,5.8,9,南南西
2019/5/29,20.2,25.1,16.8,7.5,2.9,10,3.4,7.7,南南西
2019/5/30,21.2,26,16.6,0,12.2,5.8,3.6,7.7,南
2019/5/31,21.6,24.2,19.5,0,0.7,10,3.8,6.4,南
