date,elapsed seconds,mouse clicks,mouse distance,scroll distance,keystrokes
2023-07-08,86400,5657,0.79,0.02,19673
2023-07-09,86400,6048,0.81,0.03,13740
2023-07-10,86400,5282,0.67,0.05,17243
2023-07-11,86400,5170,0.65,0.02,9643
2023-07-12,71460,3813,0.49,0.04,12871
2023-07-13,86400,1613,0.23,0.01,7250
2023-07-14,74096,5205,0.69,0.04,21858
2023-07-15,85384,7252,0.95,0.02,24326
2023-07-16,86400,5444,0.92,0.04,32747
2023-07-17,84480,4485,0.46,0.01,5927
2023-07-18,86400,5738,0.70,0.02,20008
2023-07-19,79740,3670,0.51,0.03,17488
2023-07-20,51840,3650,0.47,0.01,22237
2023-07-21,84060,3072,0.45,0.03,15085
2023-07-22,86400,3102,0.35,0.01,7912
2023-07-23,86400,3965,0.51,0.01,32648
2023-07-24,86400,6699,0.93,0.02,19651
2023-07-25,86400,4395,0.60,0.02,20247
2023-07-26,42240,3755,0.50,0.01,18413
2023-07-27,86400,4633,0.61,0.01,14867
2023-07-28,38340,822,0.12,0.00,1953
2023-07-29,77040,1980,0.24,0.00,6304
2023-07-30,37500,889,0.12,0.01,1724
2023-07-31,86400,4434,0.57,0.01,16338
2023-08-01,86400,6108,0.80,0.02,21829
2023-08-02,86400,5387,0.76,0.02,18746
2023-08-03,86400,6450,0.91,0.04,19365
2023-08-04,86400,5192,0.65,0.02,15888
2023-08-05,86400,5736,0.72,0.01,12365
2023-08-06,86400,4955,0.68,0.03,16077
2023-08-07,86400,2387,0.35,0.01,14454
2023-08-08,37440,535,0.07,0.00,1818
2023-08-09,86400,5739,0.69,0.03,40060
2023-08-10,86400,7186,0.85,0.03,28593
2023-08-11,86400,3115,0.45,0.02,9949
2023-08-12,86400,5449,0.70,0.01,21407
2023-08-13,86400,7431,0.95,0.02,23621
2023-08-14,62898,3974,0.49,0.02,9248
